dealstatus,same_sector,same_country,target_sector,acquiror_sector,deal_type,roa_target,initial_stake
1,True,True,Primary,Primary,acquisition_100%,-0.017332,0.0
1,False,True,Other,Other,acquisition_100%,-0.722035,0.0
0,True,True,Machinery,Machinery,acquisition_100%,-0.041037,0.0
0,True,True,Other,Other,acquisition_100%,-2.129526,0.0
0,False,False,Primary,Wholesale,acquisition_100%,-0.107363,14.0
0,True,True,Other,Other,acquisition_100%,0.067903,0.0
1,True,True,Metals,Metals,acquisition_other%,-1.557843,0.0
1,False,True,Publishing,Machinery,acquisition_other%,0.0,0.0
0,True,True,Gas,Gas,acquisition_other%,0.011474,0.0
1,False,True,Gas,Other,acquisition_stake_increased,-0.34505,25.195
0,False,True,Food,Other,acquisition_100%,0.045914,41.543
0,True,True,Other,Other,acquisition_100%,0.001685,0.0
1,True,True,Metals,Metals,acquisition_100%,0.001044,0.0
1,True,True,Other,Other,acquisition_stake_increased,-0.008939,28.86
1,True,False,Wholesale,Wholesale,acquisition_other%,-0.020438,0.0
0,False,False,Construction,Other,acquisition_100%,0.047171,0.0
0,True,True,Transport,Transport,acquisition_100%,0.044183,27.392
0,True,True,Other,Other,acquisition_100%,0.00092,0.0
1,False,True,Construction,Other,acquisition_stake_increased,0.033824,27.41
1,False,True,Wholesale,Other,acquisition_other%,0.155537,0.0
1,False,False,Primary,Metals,acquisition_100%,-6.301896,2.982
1,True,False,Chemicals,Chemicals,acquisition_other%,0.178452,0.0
1,True,False,Other,Other,acquisition_100%,0.052438,0.0
1,True,False,Machinery,Machinery,acquisition_stake_increased,0.034441,31.57
1,False,False,Primary,Other,acquisition_stake_increased,0.054665,12.66
0,True,True,Other,Other,acquisition_100%,-2.214238,0.0
0,True,True,Gas,Gas,acquisition_stake_increased,-0.002285,29.36
1,True,True,Other,Other,acquisition_other%,-0.1561,0.0
0,True,True,Other,Other,acquisition_100%,-0.056335,0.0
0,True,True,Other,Other,acquisition_100%,-0.056335,0.0
0,False,False,Publishing,Other,acquisition_100%,0.145162,0.0
0,True,False,Other,Other,acquisition_100%,-0.043878,0.0
0,False,False,Construction,Gas,acquisition_100%,-0.435875,0.0
0,True,True,Other,Other,acquisition_100%,-0.056335,0.0
1,True,True,Other,Other,acquisition_100%,0.033352,0.0
0,True,True,Other,Other,acquisition_100%,-0.223206,0.0
0,True,False,Machinery,Machinery,acquisition_100%,-0.046574,0.0
0,True,True,Other,Other,acquisition_100%,-0.056335,0.0
0,True,True,Other,Other,acquisition_100%,-0.092052,0.0
1,True,True,Other,Other,acquisition_stake_increased,0.205328,38.9
0,True,True,Other,Other,acquisition_100%,-0.223206,0.0
0,True,True,Other,Other,acquisition_100%,-0.056335,0.0
1,True,False,Machinery,Machinery,acquisition_other%,-0.255218,0.0
0,True,False,Other,Other,acquisition_100%,-0.989633,0.0
0,False,True,Other,Chemicals,acquisition_100%,-0.69858,0.0
1,True,False,Other,Other,acquisition_100%,-0.005007,0.0
0,False,True,Publishing,Other,acquisition_100%,-0.035255,15.3
0,True,True,Other,Other,acquisition_100%,-0.056335,0.0
0,True,False,Other,Other,acquisition_100%,-0.543759,0.0
0,True,True,Other,Other,acquisition_100%,0.172016,0.0
1,False,True,Construction,Other,acquisition_stake_increased,-0.010568,24.653
0,True,True,Primary,Primary,acquisition_100%,-0.070378,0.0
0,True,False,Metals,Metals,acquisition_100%,-0.118444,0.0
0,False,False,Metals,Other,acquisition_100%,0.203493,0.0
0,True,True,Wholesale,Wholesale,acquisition_stake_increased,0.023202,42.583
0,True,True,Other,Other,acquisition_100%,-0.374592,0.0
0,True,True,Other,Other,acquisition_100%,0.031074,22.7
0,True,False,Other,Other,acquisition_100%,-0.144117,6.4
0,False,True,Other,Construction,acquisition_100%,-0.141956,0.0
0,True,True,Other,Other,acquisition_100%,0.067983,20.4
0,True,False,Education,Education,acquisition_100%,0.024309,14.6
0,False,True,Other,Machinery,acquisition_100%,-1.588844,0.0
1,True,True,Other,Other,acquisition_100%,-0.207361,0.0
1,True,True,Other,Other,acquisition_100%,-3.75,0.0
0,True,True,Machinery,Machinery,acquisition_100%,0.133448,27.545
1,True,False,Other,Other,acquisition_other%,0.143301,0.0
1,True,False,Chemicals,Chemicals,acquisition_other%,0.01311,0.0
0,False,True,Other,Other,acquisition_100%,-0.026648,0.0
0,True,True,Machinery,Machinery,acquisition_100%,-0.004095,0.0
0,True,False,Chemicals,Chemicals,acquisition_other%,0.187543,0.0
0,False,False,Machinery,Wholesale,acquisition_100%,-0.928036,0.0
1,True,False,Machinery,Machinery,acquisition_other%,-0.144936,0.0
0,True,True,Metals,Metals,acquisition_100%,-0.464772,0.0
1,True,True,Primary,Primary,acquisition_100%,-0.375141,0.0
0,False,True,Machinery,Other,acquisition_100%,0.036833,0.0
1,True,False,Other,Other,acquisition_stake_increased,-0.300823,4.952
1,True,True,Other,Other,acquisition_stake_increased,-0.000702,30.517
1,False,True,Other,Other,acquisition_stake_increased,-0.000483,33.8
0,True,True,Other,Other,acquisition_100%,-0.019729,0.0
1,True,True,Other,Other,acquisition_100%,-0.086004,0.0
1,True,True,Other,Other,acquisition_other%,0.016268,0.0
0,False,True,Transport,Other,acquisition_stake_increased,0.047666,18.248
0,True,False,Other,Other,acquisition_100%,-1.564468,0.0
1,True,False,Education,Education,acquisition_stake_increased,0.024309,14.6
1,True,False,Other,Other,acquisition_stake_increased,-0.006747,19.904
1,True,True,Other,Other,acquisition_100%,-0.122246,0.0
0,True,False,Primary,Primary,acquisition_100%,-0.42124,0.0
1,True,True,Other,Other,acquisition_other%,-0.07766,0.0
1,True,False,Other,Other,acquisition_other%,0.001875,0.0
1,False,True,Other,Primary,acquisition_100%,-0.050788,0.0
1,False,True,Other,Construction,acquisition_other%,0.093982,0.0
0,False,True,Machinery,Primary,acquisition_100%,-1.393769,0.0
1,True,True,Other,Other,acquisition_other%,-0.87037,0.0
0,True,True,Chemicals,Chemicals,acquisition_100%,-0.127363,0.0
1,True,True,Other,Other,acquisition_100%,-0.025225,0.0
0,False,True,Machinery,Other,acquisition_100%,0.097305,3.921
1,False,False,Machinery,Other,acquisition_100%,0.098753,0.0
1,False,True,Other,Other,acquisition_other%,-0.063926,0.0
0,True,True,Other,Other,acquisition_100%,-0.494613,0.0
1,False,False,Metals,Other,acquisition_100%,-0.037383,0.0
1,True,True,Other,Other,acquisition_100%,-0.16058,0.0
1,True,True,Other,Other,acquisition_100%,-5.381316,0.0
0,False,True,Machinery,Other,acquisition_100%,0.0296,0.0
1,False,True,Food,Construction,acquisition_other%,0.101025,0.0
0,True,True,Other,Other,acquisition_100%,-1.644418,0.0
0,True,True,Food,Other,acquisition_100%,0.156303,0.0
0,True,True,Primary,Primary,acquisition_100%,-0.183531,0.0
1,False,False,Construction,Other,acquisition_other%,0.076184,0.108
1,True,True,Other,Other,acquisition_100%,-0.017881,0.0
0,False,True,Primary,Other,acquisition_100%,-0.053632,0.0
0,True,True,Machinery,Machinery,acquisition_100%,-2.482245,0.0
1,False,True,Metals,Other,acquisition_100%,-0.079808,0.0
0,True,True,Metals,Metals,acquisition_100%,-1.06383,0.0
1,True,False,Other,Other,acquisition_stake_increased,-0.122246,24.0
1,True,True,Other,Other,acquisition_100%,-0.02574,0.0
1,False,True,Wholesale,Other,acquisition_stake_increased,-0.025854,42.67
0,True,True,Other,Other,acquisition_100%,-0.052222,0.0
0,False,True,Other,Metals,acquisition_100%,-0.37029,0.0
1,False,True,Other,Metals,acquisition_100%,-2.508001,0.0
1,True,True,Other,Other,acquisition_100%,-0.028426,0.0
1,True,True,Other,Other,acquisition_100%,-0.036853,2.789
1,True,True,Other,Other,acquisition_other%,-0.036005,0.0
0,True,True,Other,Other,acquisition_100%,-0.030947,0.0
0,True,False,Metals,Metals,acquisition_100%,-0.040893,0.0
0,True,True,Metals,Metals,acquisition_100%,-1.06383,0.0
0,False,True,Primary,Machinery,acquisition_100%,-0.118353,0.0
1,True,False,Wholesale,Wholesale,acquisition_other%,-0.022793,0.0
1,True,True,Other,Other,acquisition_100%,-7.31357,0.0
0,False,False,Wholesale,Other,acquisition_other%,0.1,0.0
1,False,True,Metals,Other,acquisition_100%,-0.314597,0.0
0,True,False,Metals,Metals,acquisition_100%,-0.238609,0.0
0,True,True,Metals,Metals,acquisition_100%,-0.002401,0.0
1,False,True,Other,Metals,acquisition_other%,0.041552,0.0
0,False,False,Other,Other,acquisition_stake_increased,0.049858,32.227
0,True,False,Metals,Metals,acquisition_100%,-0.772364,14.343
0,False,True,Other,Chemicals,acquisition_100%,-2.881836,0.0
